govname1	year
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Johnson, Edwin C.	1956
McNichols, Stephen L.R.	1957
McNichols, Stephen L.R.	1958
McNichols, Stephen L.R.	1959
McNichols, Stephen L.R.	1960
McNichols, Stephen L.R.	1961
McNichols, Stephen L.R.	1962
Love, John A.	1963
Love, John A.	1964
Love, John A.	1965
Love, John A.	1966
Love, John A.	1967
Love, John A.	1968
Love, John A.	1969
Love, John A.	1970
Love, John A.	1971
Love, John A.	1972
Love, John A. and John D. Vanderhoof	1973
Vanderhoof, John D.	1974
Lamm, Richard D.	1975
Lamm, Richard D.	1976
Lamm, Richard D.	1977
Lamm, Richard D.	1978
Lamm, Richard D.	1979
Lamm, Richard D.	1980
Lamm, Richard D.	1981
Lamm, Richard D.	1982
Lamm, Richard D.	1983
Lamm, Richard D.	1984
Lamm, Richard D.	1985
Lamm, Richard D.	1986
Romer, Roy	1987
Romer, Roy	1988
Romer, Roy	1989
Romer, Roy	1990
Romer, Roy	1991
Romer, Roy	1992
Romer, Roy	1993
Romer, Roy	1994
Romer, Roy	1995
Romer, Roy	1996
Romer, Roy	1997
Romer, Roy	1998
Owens, Bill	1999
Owens, Bill	2000
Owens, Bill	2001
Owens, Bill	2002
Owens, Bill	2003
Owens, Bill	2004
Owens, Bill	2005
Owens, Bill	2006
Ritter, Bill	2007
Ritter, Bill	2008
Ritter, Bill	2009
Ritter, Bill	2010
Hickenlooper, John	2011
	2012
	2013
	2014
	2015
	2016
	1925
Trumbull, John H.	1926
Trumbull, John H.	1927
Trumbull, John H.	1928
Trumbull, John H.	1929
Trumbull, John H.	1930
Cross, Wilbur L.	1931
Cross, Wilbur L.	1932
Cross, Wilbur L.	1933
Cross, Wilbur L.	1934
Cross, Wilbur L.	1935
Cross, Wilbur L.	1936
Cross, Wilbur L.	1937
Cross, Wilbur L.	1938
Baldwin, Raymond E.	1939
Baldwin, Raymond E.	1940
Hurley, Robert A.	1941
Hurley, Robert A.	1942
Baldwin, Raymond E.	1943
Baldwin, Raymond E.	1944
Baldwin, Raymond E.	1945
Baldwin, Raymond E.	1946
McConaughy, James L.	1947
Shannon, James C.	1948
Bowles, Chester	1949
Bowles, Chester	1950
Lodge, John D.	1951
Lodge, John D.	1952
Lodge, John D.	1953
Lodge, John D.	1954
Ribicoff, Abraham	1955
Ribicoff, Abraham	1956
Ribicoff, Abraham	1957
Ribicoff, Abraham	1958
Ribicoff, Abraham	1959
Ribicoff, Abraham	1960
Dempsey, John	1961
Dempsey, John	1962
Dempsey, John	1963
Dempsey, John	1964
Dempsey, John	1965
Dempsey, John	1966
Dempsey, John	1967
Dempsey, John	1968
Dempsey, John	1969
Dempsey, John	1970
Meskill, Thomas J.	1971
Meskill, Thomas J.	1972
Meskill, Thomas J.	1973
Meskill, Thomas J.	1974
Grasso, Ella T.	1975
Grasso, Ella T.	1976
Grasso, Ella T.	1977
Grasso, Ella T.	1978
Grasso, Ella T.	1979
Grasso, Ella T.	1980
O'Neill, William A.	1981
O'Neill, William A.	1982
O'Neill, William A.	1983
O'Neill, William A.	1984
O'Neill, William A.	1985
O'Neill, William A.	1986
O'Neill, William A.	1987
O'Neill, William A.	1988
O'Neill, William A.	1989
O'Neill, William A.	1990
Weicker, Lowell P. Jr.	1991
Weicker, Lowell P. Jr.	1992
Weicker, Lowell P. Jr.	1993
Weicker, Lowell P. Jr.	1994
Rowland, John G. 	1995
Rowland, John G. 	1996
Rowland, John G. 	1997
Rowland, John G. 	1998
Rowland, John G. 	1999
Rowland, John G. 	2000
Rowland, John G. 	2001
Rowland, John G. 	2002
Rowland, John G. 	2003
Rell, M. Jodi	2004
Rell, M. Jodi	2005
Rell, M. Jodi	2006
Rell, M. Jodi	2007
Rell, M. Jodi	2008
Rell, M. Jodi	2009
Rell, M. Jodi	2010
Malloy, Dan	2011
	2012
	2013
	2014
	2015
	2016
	1925
Robinson, Robert P.	1926
Robinson, Robert P.	1927
Robinson, Robert P.	1928
Buck, C. Douglass	1929
Buck, C. Douglass	1930
Buck, C. Douglass	1931
Buck, C. Douglass	1932
Buck, C. Douglass	1933
Buck, C. Douglass	1934
Buck, C. Douglass	1935
Buck, C. Douglass	1936
McMullen, Richard C.	1937
McMullen, Richard C.	1938
McMullen, Richard C.	1939
McMullen, Richard C.	1940
Bacon, Walter W.	1941
Bacon, Walter W.	1942
Bacon, Walter W.	1943
Bacon, Walter W.	1944
Bacon, Walter W.	1945
Bacon, Walter W.	1946
Bacon, Walter W.	1947
Bacon, Walter W.	1948
Carvel, Elbert N.	1949
Carvel, Elbert N.	1950
Carvel, Elbert N.	1951
Carvel, Elbert N.	1952
Boggs, J. Caleb	1953
Boggs, J. Caleb	1954
Boggs, J. Caleb	1955
Boggs, J. Caleb	1956
Boggs, J. Caleb	1957
Boggs, J. Caleb	1958
Boggs, J. Caleb	1959
Boggs, J. Caleb	1960
Carvel, Elbert N.	1961
Carvel, Elbert N.	1962
Carvel, Elbert N.	1963
Carvel, Elbert N.	1964
Terry, Charles L. Jr.	1965
Terry, Charles L. Jr.	1966
Terry, Charles L. Jr.	1967
Terry, Charles L. Jr.	1968
Peterson, Russell W.	1969
Peterson, Russell W.	1970
Peterson, Russell W.	1971
Peterson, Russell W.	1972
Tribbitt, Sherman W.	1973
Tribbitt, Sherman W.	1974
Tribbitt, Sherman W.	1975
Tribbitt, Sherman W.	1976
duPont, Pierre	1977
duPont, Pierre	1978
duPont, Pierre	1979
duPont, Pierre	1980
duPont, Pierre	1981
duPont, Pierre	1982
duPont, Pierre	1983
duPont, Pierre	1984
Castle, Michael N.	1985
Castle, Michael N.	1986
Castle, Michael N.	1987
Castle, Michael N.	1988
Castle, Michael N.	1989
Castle, Michael N.	1990
Castle, Michael N.	1991
Castle, Michael N.	1992
Carper, Thomas R.	1993
Carper, Thomas R.	1994
Carper, Thomas R.	1995
Carper, Thomas R.	1996
Carper, Thomas R.	1997
Carper, Thomas R.	1998
Carper, Thomas R.	1999
Carper, Thomas R.	2000
Minner, Ruth Ann	2001
Minner, Ruth Ann	2002
Minner, Ruth Ann	2003
Minner, Ruth Ann	2004
Minner, Ruth Ann	2005
Minner, Ruth Ann	2006
Minner, Ruth Ann	2007
Minner, Ruth Ann	2008
Markell, Jack	2009
Markell, Jack	2010
Markell, Jack	2011
	2012
	2013
	2014
	2015
	2016
	1925
Martin, John W.	1926
Martin, John W.	1927
Martin, John W.	1928
Carlton, Doyle E.	1929
Carlton, Doyle E.	1930
Carlton, Doyle E.	1931
Carlton, Doyle E.	1932
Sholtz, David	1933
Sholtz, David	1934
Sholtz, David	1935
Sholtz, David	1936
Cone, Frederick P.	1937
Cone, Frederick P.	1938
Cone, Frederick P.	1939
Cone, Frederick P.	1940
Holland, Spessard L.	1941
Holland, Spessard L.	1942
Holland, Spessard L.	1943
Holland, Spessard L.	1944
Caldwell, Millard F.	1945
Caldwell, Millard F.	1946
Caldwell, Millard F.	1947
Caldwell, Millard F.	1948
Warren, Fuller	1949
Warren, Fuller	1950
Warren, Fuller	1951
Warren, Fuller	1952
McCarty, Daniel T.	1953
Johns, Charley E.	1954
Collins, LeRoy	1955
Collins, LeRoy	1956
Collins, LeRoy	1957
Collins, LeRoy	1958
Collins, LeRoy	1959
Collins, LeRoy	1960
Bryant, Farris	1961
Bryant, Farris	1962
Bryant, Farris	1963
Bryant, Farris	1964
Burns, Haydon	1965
Burns, Haydon	1966
Kirk, Claude R. Jr.	1967
Kirk, Claude R. Jr.	1968
Kirk, Claude R. Jr.	1969
Kirk, Claude R. Jr.	1970
Askew, Reubin	1971
Askew, Reubin	1972
Askew, Reubin	1973
Askew, Reubin	1974
Askew, Reubin	1975
Askew, Reubin	1976
Askew, Reubin	1977
Askew, Reubin	1978
Graham, Robert	1979
Graham, Robert	1980
Graham, Robert	1981
Graham, Robert	1982
Graham, Robert	1983
Graham, Robert	1984
Graham, Robert	1985
Graham, Robert	1986
Martinez, Bob	1987
Martinez, Bob	1988
Martinez, Bob	1989
Martinez, Bob	1990
Chiles, Lawton M. Jr.	1991
Chiles, Lawton M. Jr.	1992
Chiles, Lawton M. Jr.	1993
Chiles, Lawton M. Jr.	1994
Chiles, Lawton M. Jr.	1995
Chiles, Lawton M. Jr.	1996
Chiles, Lawton M. Jr.	1997
Chiles, Lawton M. Jr.	1998
Bush, Jeb	1999
Bush, Jeb	2000
Bush, Jeb	2001
Bush, Jeb	2002
Bush, Jeb	2003
Bush, Jeb	2004
Bush, Jeb	2005
Bush, Jeb	2006
Crist, Charlie	2007
Crist, Charlie	2008
Crist, Charlie	2009
Crist, Charlie	2010
Scott, Rick	2011
	2012
	2013
	2014
	2015
	2016
	1925
Walker, Clifford M.	1926
	1927
Hardman, Lamartine G.	1928
Hardman, Lamartine G.	1929
Hardman, Lamartine G.	1930
	1931
Russell, Richard B.	1932
Talmadge, Eugene	1933
Talmadge, Eugene	1934
Talmadge, Eugene	1935
Talmadge, Eugene	1936
Rivers, Eurith D.	1937
Rivers, Eurith D.	1938
Rivers, Eurith D.	1939
Rivers, Eurith D.	1940
Talmadge, Eugene	1941
Talmadge, Eugene	1942
Arnall, Ellis G.	1943
Arnall, Ellis G.	1944
Arnall, Ellis G.	1945
Arnall, Ellis G.	1946
Thompson, Melvin E.	1947
Thompson, Melvin E.	1948
Talmadge, Herman E.	1949
Talmadge, Herman E.	1950
Talmadge, Herman E.	1951
Talmadge, Herman E.	1952
Talmadge, Herman E.	1953
Talmadge, Herman E.	1954
Griffin, S. Marvin	1955
Griffin, S. Marvin	1956
Griffin, S. Marvin	1957
Griffin, S. Marvin	1958
Vandiver, S. Ernest Jr.	1959
Vandiver, S. Ernest Jr.	1960
Vandiver, S. Ernest Jr.	1961
Vandiver, S. Ernest Jr.	1962
Sanders, Carl Edward	1963
Sanders, Carl Edward	1964
Sanders, Carl Edward	1965
Sanders, Carl Edward	1966
Maddox, Lester G.	1967
Maddox, Lester G.	1968
Maddox, Lester G.	1969
Maddox, Lester G.	1970
Carter, Jimmy	1971
Carter, Jimmy	1972
Carter, Jimmy	1973
Carter, Jimmy	1974
Busbee, George	1975
Busbee, George	1976
Busbee, George	1977
Busbee, George	1978
Busbee, George	1979
Busbee, George	1980
Busbee, George	1981
Busbee, George	1982
Harris, Joe Frank	1983
Harris, Joe Frank	1984
Harris, Joe Frank	1985
Harris, Joe Frank	1986
Harris, Joe Frank	1987
Harris, Joe Frank	1988
Harris, Joe Frank	1989
Harris, Joe Frank	1990
Miller, Zell	1991
Miller, Zell	1992
Miller, Zell	1993
Miller, Zell	1994
Miller, Zell	1995
Miller, Zell	1996
Miller, Zell	1997
Miller, Zell	1998
Barnes, Roy	1999
Barnes, Roy	2000
Barnes, Roy	2001
Barnes, Roy	2002
Perdue, Sonny	2003
Perdue, Sonny	2004
Perdue, Sonny	2005
Perdue, Sonny	2006
Perdue, Sonny	2007
Perdue, Sonny	2008
Perdue, Sonny	2009
Perdue, Sonny	2010
Deal, Nathan	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
	1956
	1957
	1958
Quinn, William F.	1959
Quinn, William F.	1960
Quinn, William F.	1961
Quinn, William F.	1962
Burns, John A.	1963
Burns, John A.	1964
Burns, John A.	1965
Burns, John A.	1966
Burns, John A.	1967
Burns, John A.	1968
Burns, John A.	1969
Burns, John A.	1970
Burns, John A.	1971
Burns, John A.	1972
Burns, John A.	1973
Burns, John A.	1974
Ariyoshi, George R.	1975
Ariyoshi, George R.	1976
Ariyoshi, George R.	1977
Ariyoshi, George R.	1978
Ariyoshi, George R.	1979
Ariyoshi, George R.	1980
Ariyoshi, George R.	1981
Ariyoshi, George R.	1982
Ariyoshi, George R.	1983
Ariyoshi, George R.	1984
Ariyoshi, George R.	1985
Ariyoshi, George R.	1986
Waihee, John	1987
Waihee, John	1988
Waihee, John	1989
Waihee, John	1990
Waihee, John	1991
Waihee, John	1992
Waihee, John	1993
Waihee, John	1994
Cayetano, Benjamin J.	1995
Cayetano, Benjamin J.	1996
Cayetano, Benjamin J.	1997
Cayetano, Benjamin J.	1998
Cayetano, Benjamin J.	1999
Cayetano, Benjamin J.	2000
Cayetano, Benjamin J.	2001
Cayetano, Benjamin J.	2002
Lingle, Linda	2003
Lingle, Linda	2004
Lingle, Linda	2005
Lingle, Linda	2006
Lingle, Linda	2007
Lingle, Linda	2008
Lingle, Linda	2009
Lingle, Linda	2010
Abercrombie, Neil	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Smylie, Robert E.	1956
Smylie, Robert E.	1957
Smylie, Robert E.	1958
Smylie, Robert E.	1959
Smylie, Robert E.	1960
Smylie, Robert E.	1961
Smylie, Robert E.	1962
Smylie, Robert E.	1963
Smylie, Robert E.	1964
Smylie, Robert E.	1965
Smylie, Robert E.	1966
Samuelson, Don	1967
Samuelson, Don	1968
Samuelson, Don	1969
Samuelson, Don	1970
Andrus, Cecil D.	1971
Andrus, Cecil D.	1972
Andrus, Cecil D.	1973
Andrus, Cecil D.	1974
Andrus, Cecil D.	1975
Andrus, Cecil D.	1976
Evans, John V.	1977
Evans, John V.	1978
Evans, John V.	1979
Evans, John V.	1980
Evans, John V.	1981
Evans, John V.	1982
Evans, John V.	1983
Evans, John V.	1984
Evans, John V.	1985
Evans, John V.	1986
Andrus, Cecil D.	1987
Andrus, Cecil D.	1988
Andrus, Cecil D.	1989
Andrus, Cecil D.	1990
Andrus, Cecil D.	1991
Andrus, Cecil D.	1992
Andrus, Cecil D.	1993
Andrus, Cecil D.	1994
Batt, Philip E.	1995
Batt, Philip E.	1996
Batt, Philip E.	1997
Batt, Philip E.	1998
Kempthorne, Dirk	1999
Kempthorne, Dirk	2000
Kempthorne, Dirk	2001
Kempthorne, Dirk	2002
Kempthorne, Dirk	2003
Kempthorne, Dirk	2004
Kempthorne, Dirk	2005
Kempthorne, Dirk	2006
Otter, C. L. "Butch"	2007
Otter, C. L. "Butch"	2008
Otter, C. L. "Butch"	2009
Otter, C. L. "Butch"	2010
Otter, C. L. "Butch"	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Stratton, William G.	1956
Stratton, William G.	1957
Stratton, William G.	1958
Stratton, William G.	1959
Stratton, William G.	1960
Kerner, Otto	1961
Kerner, Otto	1962
Kerner, Otto	1963
Kerner, Otto	1964
Kerner, Otto	1965
Kerner, Otto	1966
Kerner, Otto	1967
Kerner, Otto followed by Samuel H. Shapiro	1968
Ogilvie, Richard B.	1969
Ogilvie, Richard B.	1970
Ogilvie, Richard B.	1971
Ogilvie, Richard B.	1972
Walker, Daniel	1973
Walker, Daniel	1974
Walker, Daniel	1975
Walker, Daniel	1976
Thompson, James R.	1977
Thompson, James R.	1978
Thompson, James R.	1979
Thompson, James R.	1980
Thompson, James R.	1981
Thompson, James R.	1982
Thompson, James R.	1983
Thompson, James R.	1984
Thompson, James R.	1985
Thompson, James R.	1986
Thompson, James R.	1987
Thompson, James R.	1988
Thompson, James R.	1989
Thompson, James R.	1990
Edgar, Jim	1991
Edgar, Jim	1992
Edgar, Jim	1993
Edgar, Jim	1994
Edgar, Jim	1995
Edgar, Jim	1996
Edgar, Jim	1997
Edgar, Jim	1998
Ryan, George	1999
Ryan, George	2000
Ryan, George	2001
Ryan, George	2002
Blagojevich, Rod R.	2003
Blagojevich, Rod R.	2004
Blagojevich, Rod R.	2005
Blagojevich, Rod R.	2006
Blagojevich, Rod R.	2007
Blagojevich, Rod R.	2008
Quinn, Patrick	2009
Quinn, Patrick	2010
Quinn, Patrick	2011
	2012
	2013
	2014
	2015
	2016
	1925
Jackson, Edward	1926
Jackson, Edward	1927
Jackson, Edward	1928
Leslie, Harry G.	1929
Leslie, Harry G.	1930
Leslie, Harry G.	1931
Leslie, Harry G.	1932
McNutt, Paul V.	1933
McNutt, Paul V.	1934
McNutt, Paul V.	1935
McNutt, Paul V.	1936
Townsend, M. Clifford	1937
Townsend, M. Clifford	1938
Townsend, M. Clifford	1939
Townsend, M. Clifford	1940
Schricker, Henry F.	1941
Schricker, Henry F.	1942
Schricker, Henry F.	1943
Schricker, Henry F.	1944
Gates, Ralph F.	1945
Gates, Ralph F.	1946
Gates, Ralph F.	1947
Gates, Ralph F.	1948
Schricker, Henry F.	1949
Schricker, Henry F.	1950
Schricker, Henry F.	1951
Schricker, Henry F.	1952
Craig, George N.	1953
Craig, George N.	1954
Craig, George N.	1955
Craig, George N.	1956
Handley, Harold W.	1957
Handley, Harold W.	1958
Handley, Harold W.	1959
Handley, Harold W.	1960
Welsh, Matthew E.	1961
Welsh, Matthew E.	1962
Welsh, Matthew E.	1963
Welsh, Matthew E.	1964
Branigin, Roger D.	1965
Branigin, Roger D.	1966
Branigin, Roger D.	1967
Branigin, Roger D.	1968
Whitcomb, Edgar E.	1969
Whitcomb, Edgar E.	1970
Whitcomb, Edgar E.	1971
Whitcomb, Edgar E.	1972
Bowen, Otis R.	1973
Bowen, Otis R.	1974
Bowen, Otis R.	1975
Bowen, Otis R.	1976
Bowen, Otis R.	1977
Bowen, Otis R.	1978
Bowen, Otis R.	1979
Bowen, Otis R.	1980
Orr, Robert D.	1981
